inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,1,450,10,850,2025-08-27
2,1,3,366,29,250,2025-08-08
3,2,1,279,19,824,2024-01-11
4,3,4,323,33,950,2024-09-01
5,4,3,465,22,897,2024-11-07
6,4,2,433,20,505,2024-04-13
7,5,5,344,47,478,2024-12-20
8,5,2,313,27,300,2025-09-03
9,6,4,319,18,888,2024-07-02
10,6,2,115,22,631,2025-07-20
11,7,5,69,37,233,2024-03-16
12,8,3,470,31,622,2024-12-20
13,8,1,313,10,983,2024-02-06
14,8,5,68,43,405,2025-05-07
15,9,3,346,29,745,2024-01-16
16,9,1,294,47,519,2025-05-27
17,10,3,147,21,650,2025-04-11
18,10,3,318,22,478,2024-02-19
19,11,3,498,28,539,2024-06-28
20,11,1,34,29,213,2024-02-09
21,12,4,219,13,632,2024-06-29
22,13,1,209,34,937,2025-07-13
23,14,4,400,37,982,2024-09-28
24,14,4,439,14,705,2025-08-27
25,15,3,78,31,911,2025-06-07
26,15,5,79,37,632,2024-11-20
27,16,5,416,19,233,2024-10-11
28,16,2,301,18,483,2025-07-03
29,17,2,98,34,771,2025-12-31
30,18,1,412,27,213,2025-12-12
31,18,2,316,38,564,2024-01-13
32,18,4,202,18,937,2026-01-08
33,19,4,353,19,898,2025-06-03
34,19,2,184,31,561,2024-07-17
35,20,2,354,44,658,2024-06-05
36,21,1,489,14,701,2025-06-01
37,21,4,240,20,699,2024-10-28
38,21,1,163,38,518,2024-05-14
39,22,3,102,27,821,2025-04-04
40,23,4,286,20,740,2025-02-03
41,23,3,324,14,588,2026-01-03
42,24,2,261,29,515,2025-10-14
43,24,3,387,13,228,2024-12-06
44,24,5,227,39,578,2024-10-19
45,25,2,381,35,335,2026-01-19
46,26,3,74,29,584,2024-08-31
47,27,2,136,36,912,2026-03-02
48,27,3,201,40,859,2026-02-07
49,27,4,370,18,725,2025-07-10
50,28,5,158,26,642,2025-09-04
51,28,3,454,38,475,2024-05-14
52,28,5,196,21,606,2024-01-15
53,29,3,81,12,961,2024-02-19
54,29,3,173,40,811,2024-03-30
55,29,2,125,26,774,2024-05-06
56,30,5,209,18,551,2024-06-30
57,31,3,97,16,875,2024-07-11
58,31,5,164,30,220,2025-01-11
59,31,3,247,13,274,2026-02-06
60,32,4,254,10,315,2026-01-24
61,32,5,255,33,639,2025-09-23
62,33,4,480,11,491,2024-11-07
63,33,3,409,43,731,2025-06-18
64,34,1,63,44,258,2024-09-26
65,34,2,99,16,870,2025-01-20
66,35,2,22,42,368,2025-04-17
67,36,2,15,42,723,2024-08-27
68,37,4,337,20,244,2026-03-03
69,38,3,346,35,917,2024-10-08
70,39,2,137,41,843,2024-11-08
71,40,3,129,29,837,2024-05-29
72,40,4,157,47,549,2024-07-05
73,40,5,20,36,220,2024-03-29
74,41,5,19,44,606,2025-03-07
75,42,3,26,17,800,2025-03-28
76,43,1,77,28,722,2024-05-31
77,43,3,202,16,233,2025-12-08
78,44,3,281,17,580,2024-04-27
79,44,5,319,24,547,2024-02-25
80,44,1,6,15,496,2024-04-28
81,45,2,136,24,601,2025-01-11
82,45,2,262,17,426,2025-03-31
83,46,5,408,20,556,2025-04-07
84,46,4,259,10,215,2025-04-16
85,47,4,233,22,278,2025-12-31
86,48,5,328,11,288,2025-07-23
87,48,4,452,29,376,2024-05-28
88,48,2,391,50,292,2026-01-26
89,49,4,284,28,733,2024-11-23
90,49,1,437,24,950,2026-02-06
91,50,1,295,25,415,2025-03-30
92,50,4,60,22,361,2024-06-20
93,50,2,128,19,822,2024-01-01
94,51,5,317,30,419,2024-12-18
95,51,5,231,32,658,2025-05-08
96,52,1,22,38,598,2024-10-29
97,52,3,162,28,461,2025-12-17
98,53,2,103,13,829,2025-11-30
99,53,3,494,46,211,2025-10-26
