order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,92,3,266.71,800.13
2,1,70,3,396.75,1190.25
3,1,93,2,466.68,933.36
4,2,80,1,99.12,99.12
5,2,65,1,448.5,448.5
6,2,6,3,277.3,831.9
7,3,40,4,240.44,961.76
8,3,70,1,396.75,396.75
9,3,94,1,293.49,293.49
10,4,82,1,384.62,384.62
11,4,13,2,82.49,164.98
12,4,56,2,470.14,940.28
13,5,23,4,247.28,989.12
14,6,68,4,454.12,1816.48
15,6,48,4,185.45,741.8
16,6,43,2,301.83,603.66
17,6,88,2,325.82,651.64
18,6,7,4,193.83,775.32
19,7,49,4,473.45,1893.8
20,7,69,2,164.06,328.12
21,7,3,4,301.31,1205.24
22,7,6,5,277.3,1386.5
23,8,44,5,33.27,166.35
24,8,37,3,38.31,114.93
25,8,49,3,473.45,1420.35
26,8,17,2,68.92,137.84
27,8,60,4,406.54,1626.16
28,9,83,3,261.57,784.71
29,10,20,4,44.45,177.8
30,10,64,5,312.55,1562.75
31,10,17,5,68.92,344.6
32,10,18,2,111.06,222.12
33,11,12,5,155.89,779.45
34,11,19,3,475.4,1426.2
35,11,94,4,293.49,1173.96
36,11,75,2,173.79,347.58
37,12,51,4,300.89,1203.56
38,12,6,1,277.3,277.3
39,12,35,5,223.98,1119.9
40,12,91,4,212.53,850.12
41,13,68,4,454.12,1816.48
42,13,29,5,319.49,1597.45
43,14,19,2,475.4,950.8
44,15,86,5,458.49,2292.45
45,15,88,4,325.82,1303.28
46,16,83,5,261.57,1307.85
47,16,48,2,185.45,370.9
48,17,88,1,325.82,325.82
49,18,61,5,198.14,990.7
50,18,50,3,167.01,501.03
51,18,41,4,61.76,247.04
52,18,62,5,124,620
53,18,55,5,7.99,39.95
54,19,92,5,266.71,1333.55
55,19,21,3,378.89,1136.67
56,19,67,4,311.43,1245.72
57,19,55,3,7.99,23.97
58,20,49,4,473.45,1893.8
59,20,73,5,292.48,1462.4
60,20,61,3,198.14,594.42
61,20,35,2,223.98,447.96
62,20,59,5,53.72,268.6
63,21,11,5,80.79,403.95
64,21,95,5,324.44,1622.2
65,21,42,3,293.85,881.55
66,21,10,1,104.69,104.69
67,22,54,3,253.69,761.07
68,22,40,5,240.44,1202.2
69,22,38,2,236.98,473.96
70,22,23,3,247.28,741.84
71,22,80,3,99.12,297.36
72,23,43,3,301.83,905.49
73,23,27,5,419.76,2098.8
74,23,89,5,31.13,155.65
75,24,99,1,227.88,227.88
76,24,35,4,223.98,895.92
77,24,12,4,155.89,623.56
78,24,14,5,126.22,631.1
79,24,69,2,164.06,328.12
80,25,32,3,222.65,667.95
81,26,43,2,301.83,603.66
82,26,46,3,344.76,1034.28
83,27,10,5,104.69,523.45
84,27,70,3,396.75,1190.25
85,28,3,1,301.31,301.31
86,29,9,1,112.79,112.79
87,30,63,1,35.03,35.03
88,30,82,2,384.62,769.24
89,30,83,1,261.57,261.57
90,31,5,2,478.84,957.68
91,31,30,3,30.68,92.04
92,31,100,4,445.88,1783.52
93,31,32,4,222.65,890.6
94,31,96,3,244.57,733.71
95,32,58,4,335.84,1343.36
96,33,20,2,44.45,88.9
97,33,6,4,277.3,1109.2
98,34,11,3,80.79,242.37
99,34,53,2,81.62,163.24
100,34,85,2,280.61,561.22
101,34,14,2,126.22,252.44
102,35,82,4,384.62,1538.48
103,35,84,2,463.93,927.86
104,35,15,1,480.15,480.15
105,36,13,4,82.49,329.96
106,37,96,3,244.57,733.71
107,37,52,2,268.32,536.64
108,37,33,3,119.79,359.37
109,38,76,1,24.32,24.32
110,38,56,3,470.14,1410.42
111,38,23,1,247.28,247.28
112,38,84,3,463.93,1391.79
113,39,25,1,192.51,192.51
114,39,8,2,490.88,981.76
115,39,84,2,463.93,927.86
116,40,63,1,35.03,35.03
117,40,38,4,236.98,947.92
118,40,7,2,193.83,387.66
119,41,53,2,81.62,163.24
120,41,69,5,164.06,820.3
121,41,90,1,408.87,408.87
122,41,93,5,466.68,2333.4
123,42,6,5,277.3,1386.5
124,42,2,1,135.97,135.97
125,42,41,4,61.76,247.04
126,42,52,1,268.32,268.32
127,43,14,4,126.22,504.88
128,43,99,1,227.88,227.88
129,44,81,1,112.67,112.67
130,44,93,3,466.68,1400.04
131,44,23,2,247.28,494.56
132,45,30,4,30.68,122.72
133,45,1,4,260.57,1042.28
134,45,71,4,120.07,480.28
135,45,22,1,404.82,404.82
136,46,92,3,266.71,800.13
137,47,88,4,325.82,1303.28
138,47,84,1,463.93,463.93
139,47,93,5,466.68,2333.4
140,47,82,2,384.62,769.24
141,47,82,3,384.62,1153.86
142,48,8,3,490.88,1472.64
143,48,15,4,480.15,1920.6
144,48,46,4,344.76,1379.04
145,48,61,5,198.14,990.7
146,48,42,2,293.85,587.7
147,49,81,2,112.67,225.34
148,49,97,4,128.06,512.24
149,49,44,2,33.27,66.54
150,49,59,5,53.72,268.6
151,49,46,2,344.76,689.52
152,50,51,1,300.89,300.89
153,50,13,5,82.49,412.45
154,50,49,5,473.45,2367.25
155,50,27,2,419.76,839.52
156,51,26,5,340.88,1704.4
157,51,6,5,277.3,1386.5
158,52,89,4,31.13,124.52
159,52,70,5,396.75,1983.75
160,52,78,4,212.2,848.8
161,52,9,2,112.79,225.58
162,53,20,5,44.45,222.25
163,53,2,3,135.97,407.91
164,53,78,2,212.2,424.4
165,54,87,4,62.98,251.92
166,54,10,3,104.69,314.07
167,55,99,2,227.88,455.76
168,55,58,4,335.84,1343.36
169,56,24,5,127.52,637.6
170,56,30,5,30.68,153.4
171,56,64,3,312.55,937.65
172,56,32,5,222.65,1113.25
173,57,99,4,227.88,911.52
174,58,10,2,104.69,209.38
175,58,56,5,470.14,2350.7
176,59,39,3,379.54,1138.62
177,59,93,4,466.68,1866.72
178,59,61,2,198.14,396.28
179,60,40,3,240.44,721.32
180,60,80,2,99.12,198.24
181,61,95,2,324.44,648.88
182,61,70,1,396.75,396.75
183,61,49,4,473.45,1893.8
184,61,24,3,127.52,382.56
185,62,44,4,33.27,133.08
186,63,20,2,44.45,88.9
187,63,15,3,480.15,1440.45
188,63,99,1,227.88,227.88
189,63,52,4,268.32,1073.28
190,63,85,5,280.61,1403.05
191,64,81,3,112.67,338.01
192,64,96,4,244.57,978.28
193,64,41,4,61.76,247.04
194,65,26,3,340.88,1022.64
195,65,35,2,223.98,447.96
196,65,20,2,44.45,88.9
197,65,57,4,134,536
198,65,67,1,311.43,311.43
199,66,99,5,227.88,1139.4
200,66,58,5,335.84,1679.2
201,66,63,4,35.03,140.12
202,66,68,1,454.12,454.12
203,66,65,2,448.5,897
204,67,94,2,293.49,586.98
205,67,36,5,274.9,1374.5
206,67,85,1,280.61,280.61
207,68,83,3,261.57,784.71
208,68,17,3,68.92,206.76
209,68,20,4,44.45,177.8
210,68,53,4,81.62,326.48
211,68,63,1,35.03,35.03
212,69,88,3,325.82,977.46
213,69,56,2,470.14,940.28
214,69,34,1,194.52,194.52
215,69,62,4,124,496
216,70,78,1,212.2,212.2
217,71,17,1,68.92,68.92
218,71,35,3,223.98,671.94
219,71,91,1,212.53,212.53
220,72,70,4,396.75,1587
221,72,86,1,458.49,458.49
222,73,87,1,62.98,62.98
223,73,45,4,425.62,1702.48
224,73,68,4,454.12,1816.48
225,73,96,2,244.57,489.14
226,73,66,2,57.69,115.38
227,74,50,5,167.01,835.05
228,74,59,4,53.72,214.88
229,74,93,3,466.68,1400.04
230,74,28,3,339.95,1019.85
231,74,25,2,192.51,385.02
232,75,65,5,448.5,2242.5
233,75,22,2,404.82,809.64
234,76,63,1,35.03,35.03
235,76,32,5,222.65,1113.25
236,76,49,4,473.45,1893.8
237,77,59,5,53.72,268.6
238,77,4,5,32.34,161.7
239,77,35,2,223.98,447.96
240,77,10,4,104.69,418.76
241,78,36,1,274.9,274.9
242,78,53,2,81.62,163.24
243,78,75,5,173.79,868.95
244,78,91,4,212.53,850.12
245,78,59,4,53.72,214.88
246,79,3,2,301.31,602.62
247,80,99,5,227.88,1139.4
248,80,7,4,193.83,775.32
249,81,64,5,312.55,1562.75
250,81,68,2,454.12,908.24
251,81,52,4,268.32,1073.28
252,82,22,5,404.82,2024.1
253,82,11,4,80.79,323.16
254,82,78,2,212.2,424.4
255,83,8,2,490.88,981.76
256,83,26,2,340.88,681.76
257,83,4,2,32.34,64.68
258,83,19,2,475.4,950.8
259,84,67,3,311.43,934.29
260,84,94,3,293.49,880.47
261,85,90,2,408.87,817.74
262,85,100,1,445.88,445.88
263,86,9,3,112.79,338.37
264,86,46,3,344.76,1034.28
265,87,77,1,438.57,438.57
266,88,10,1,104.69,104.69
267,89,29,5,319.49,1597.45
268,89,87,5,62.98,314.9
269,89,5,1,478.84,478.84
270,89,53,1,81.62,81.62
271,89,30,2,30.68,61.36
272,90,35,5,223.98,1119.9
273,90,72,3,287.49,862.47
274,91,4,1,32.34,32.34
275,91,50,2,167.01,334.02
276,92,34,1,194.52,194.52
277,92,31,5,189.42,947.1
278,92,31,2,189.42,378.84
279,92,46,3,344.76,1034.28
280,92,83,1,261.57,261.57
281,93,39,2,379.54,759.08
282,93,29,4,319.49,1277.96
283,93,8,2,490.88,981.76
284,93,26,2,340.88,681.76
285,94,68,2,454.12,908.24
286,94,89,2,31.13,62.26
287,94,67,2,311.43,622.86
288,94,91,1,212.53,212.53
289,94,46,4,344.76,1379.04
290,95,59,1,53.72,53.72
291,95,93,1,466.68,466.68
292,96,23,4,247.28,989.12
293,97,61,3,198.14,594.42
294,97,98,4,489.85,1959.4
295,97,5,4,478.84,1915.36
296,97,21,2,378.89,757.78
297,98,37,4,38.31,153.24
298,98,85,2,280.61,561.22
299,98,16,4,326.89,1307.56
300,98,95,1,324.44,324.44
301,99,2,3,135.97,407.91
302,100,76,4,24.32,97.28
303,100,97,4,128.06,512.24
304,100,60,1,406.54,406.54
305,100,27,4,419.76,1679.04
306,100,67,5,311.43,1557.15
307,101,54,4,253.69,1014.76
308,101,72,4,287.49,1149.96
309,101,43,1,301.83,301.83
310,101,99,1,227.88,227.88
311,101,68,1,454.12,454.12
312,102,91,2,212.53,425.06
313,102,67,3,311.43,934.29
314,102,33,3,119.79,359.37
315,103,51,5,300.89,1504.45
316,103,22,1,404.82,404.82
317,103,23,4,247.28,989.12
318,103,31,1,189.42,189.42
319,103,37,5,38.31,191.55
320,104,4,2,32.34,64.68
321,104,49,3,473.45,1420.35
322,104,47,4,252.09,1008.36
323,104,18,5,111.06,555.3
324,105,60,5,406.54,2032.7
325,105,72,2,287.49,574.98
326,105,81,3,112.67,338.01
327,105,45,5,425.62,2128.1
328,105,16,3,326.89,980.67
329,106,49,5,473.45,2367.25
330,106,11,3,80.79,242.37
331,106,48,3,185.45,556.35
332,106,96,3,244.57,733.71
333,106,23,5,247.28,1236.4
334,107,4,4,32.34,129.36
335,107,16,5,326.89,1634.45
336,107,83,3,261.57,784.71
337,108,74,1,194.94,194.94
338,109,15,3,480.15,1440.45
339,109,91,1,212.53,212.53
340,109,39,1,379.54,379.54
341,109,15,1,480.15,480.15
342,110,55,5,7.99,39.95
343,110,66,3,57.69,173.07
344,110,38,4,236.98,947.92
345,111,23,3,247.28,741.84
346,111,81,1,112.67,112.67
347,111,71,4,120.07,480.28
348,112,88,2,325.82,651.64
349,112,96,1,244.57,244.57
350,113,76,1,24.32,24.32
351,113,22,2,404.82,809.64
352,113,7,4,193.83,775.32
353,113,47,5,252.09,1260.45
354,113,31,2,189.42,378.84
355,114,99,3,227.88,683.64
356,114,18,2,111.06,222.12
357,114,48,5,185.45,927.25
358,115,93,3,466.68,1400.04
359,115,14,2,126.22,252.44
360,115,48,3,185.45,556.35
361,116,16,2,326.89,653.78
362,116,33,1,119.79,119.79
363,116,48,3,185.45,556.35
364,116,22,2,404.82,809.64
365,117,59,1,53.72,53.72
366,117,47,1,252.09,252.09
367,117,2,4,135.97,543.88
368,117,15,1,480.15,480.15
369,118,79,3,371.19,1113.57
370,118,20,1,44.45,44.45
371,119,91,3,212.53,637.59
372,120,38,3,236.98,710.94
373,121,78,3,212.2,636.6
374,121,68,5,454.12,2270.6
375,122,11,4,80.79,323.16
376,122,75,3,173.79,521.37
377,122,80,1,99.12,99.12
378,122,25,4,192.51,770.04
379,123,71,5,120.07,600.35
380,124,7,2,193.83,387.66
381,125,65,2,448.5,897
382,126,96,3,244.57,733.71
383,127,65,4,448.5,1794
384,127,21,3,378.89,1136.67
385,127,7,5,193.83,969.15
386,127,32,4,222.65,890.6
387,128,1,4,260.57,1042.28
388,128,76,5,24.32,121.6
389,128,42,5,293.85,1469.25
390,128,6,2,277.3,554.6
391,128,43,2,301.83,603.66
392,129,22,3,404.82,1214.46
393,129,82,1,384.62,384.62
394,130,18,5,111.06,555.3
395,130,20,3,44.45,133.35
396,130,80,3,99.12,297.36
397,130,82,5,384.62,1923.1
398,131,89,4,31.13,124.52
399,131,69,5,164.06,820.3
400,131,44,2,33.27,66.54
401,132,75,4,173.79,695.16
402,132,37,4,38.31,153.24
403,132,89,5,31.13,155.65
404,132,98,4,489.85,1959.4
405,133,95,1,324.44,324.44
406,134,60,1,406.54,406.54
407,134,24,4,127.52,510.08
408,134,38,1,236.98,236.98
409,134,47,4,252.09,1008.36
410,135,71,1,120.07,120.07
411,135,71,3,120.07,360.21
412,135,77,1,438.57,438.57
413,136,50,1,167.01,167.01
414,136,7,5,193.83,969.15
415,136,78,4,212.2,848.8
416,136,37,5,38.31,191.55
417,137,29,4,319.49,1277.96
418,138,7,5,193.83,969.15
419,139,50,2,167.01,334.02
420,140,15,3,480.15,1440.45
421,140,76,2,24.32,48.64
422,141,70,2,396.75,793.5
423,141,40,3,240.44,721.32
424,141,35,4,223.98,895.92
425,142,12,5,155.89,779.45
426,143,37,3,38.31,114.93
427,144,83,2,261.57,523.14
428,144,87,5,62.98,314.9
429,144,17,2,68.92,137.84
430,145,8,3,490.88,1472.64
431,145,83,2,261.57,523.14
432,145,31,5,189.42,947.1
433,145,36,5,274.9,1374.5
434,146,69,3,164.06,492.18
435,147,57,1,134,134
436,147,2,3,135.97,407.91
437,147,27,1,419.76,419.76
438,147,95,1,324.44,324.44
439,147,43,4,301.83,1207.32
440,148,71,1,120.07,120.07
441,148,87,4,62.98,251.92
442,148,94,4,293.49,1173.96
443,148,72,1,287.49,287.49
444,148,43,2,301.83,603.66
445,149,72,3,287.49,862.47
446,149,2,2,135.97,271.94
447,149,88,2,325.82,651.64
448,149,28,2,339.95,679.9
449,150,6,1,277.3,277.3
450,151,35,1,223.98,223.98
451,151,69,1,164.06,164.06
452,152,61,4,198.14,792.56
453,152,3,4,301.31,1205.24
454,152,49,4,473.45,1893.8
455,152,73,1,292.48,292.48
456,152,80,1,99.12,99.12
457,153,57,5,134,670
458,153,45,1,425.62,425.62
459,153,85,4,280.61,1122.44
460,154,42,4,293.85,1175.4
461,154,14,1,126.22,126.22
462,154,69,3,164.06,492.18
463,154,90,5,408.87,2044.35
464,154,81,5,112.67,563.35
465,155,25,2,192.51,385.02
466,156,20,4,44.45,177.8
467,156,23,1,247.28,247.28
468,156,17,1,68.92,68.92
469,156,11,2,80.79,161.58
470,156,1,1,260.57,260.57
471,157,54,3,253.69,761.07
472,157,12,4,155.89,623.56
473,158,59,1,53.72,53.72
474,158,9,2,112.79,225.58
475,158,93,4,466.68,1866.72
476,158,90,5,408.87,2044.35
477,159,7,4,193.83,775.32
478,160,13,2,82.49,164.98
479,160,11,2,80.79,161.58
480,161,38,2,236.98,473.96
481,161,7,3,193.83,581.49
482,161,12,1,155.89,155.89
483,161,89,4,31.13,124.52
484,162,77,5,438.57,2192.85
485,162,13,3,82.49,247.47
486,162,8,2,490.88,981.76
487,162,54,1,253.69,253.69
488,163,81,3,112.67,338.01
489,163,35,4,223.98,895.92
490,163,60,5,406.54,2032.7
491,163,9,1,112.79,112.79
492,163,47,3,252.09,756.27
493,164,65,2,448.5,897
494,164,12,5,155.89,779.45
495,164,37,3,38.31,114.93
496,164,19,5,475.4,2377
497,165,91,2,212.53,425.06
498,165,16,3,326.89,980.67
499,165,79,4,371.19,1484.76
500,166,70,5,396.75,1983.75
501,166,100,4,445.88,1783.52
502,166,72,3,287.49,862.47
503,167,91,4,212.53,850.12
504,167,44,3,33.27,99.81
505,167,100,5,445.88,2229.4
506,168,10,4,104.69,418.76
507,168,69,5,164.06,820.3
508,169,75,3,173.79,521.37
509,169,39,3,379.54,1138.62
510,169,98,2,489.85,979.7
511,169,62,3,124,372
512,169,97,3,128.06,384.18
513,170,29,4,319.49,1277.96
514,171,57,2,134,268
515,172,7,5,193.83,969.15
516,172,56,4,470.14,1880.56
517,172,73,3,292.48,877.44
518,172,90,2,408.87,817.74
519,173,4,2,32.34,64.68
520,173,45,4,425.62,1702.48
521,174,42,5,293.85,1469.25
522,174,60,3,406.54,1219.62
523,175,43,3,301.83,905.49
524,175,3,1,301.31,301.31
525,176,51,1,300.89,300.89
526,176,52,1,268.32,268.32
527,176,56,5,470.14,2350.7
528,177,10,3,104.69,314.07
529,177,92,4,266.71,1066.84
530,178,40,2,240.44,480.88
531,178,36,5,274.9,1374.5
532,178,30,4,30.68,122.72
533,178,15,5,480.15,2400.75
534,178,84,3,463.93,1391.79
535,179,51,5,300.89,1504.45
536,179,83,5,261.57,1307.85
537,180,21,1,378.89,378.89
538,180,18,4,111.06,444.24
539,180,86,5,458.49,2292.45
540,180,93,2,466.68,933.36
541,181,90,4,408.87,1635.48
542,182,78,2,212.2,424.4
543,182,28,1,339.95,339.95
544,183,56,2,470.14,940.28
545,184,87,3,62.98,188.94
546,184,73,5,292.48,1462.4
547,184,57,4,134,536
548,184,84,4,463.93,1855.72
549,185,15,5,480.15,2400.75
550,185,55,3,7.99,23.97
551,185,50,4,167.01,668.04
552,185,6,2,277.3,554.6
553,186,18,2,111.06,222.12
554,186,100,3,445.88,1337.64
555,186,80,5,99.12,495.6
556,186,89,2,31.13,62.26
557,186,27,2,419.76,839.52
558,187,27,2,419.76,839.52
559,187,61,5,198.14,990.7
560,188,42,5,293.85,1469.25
561,188,21,4,378.89,1515.56
562,188,81,3,112.67,338.01
563,188,17,3,68.92,206.76
564,189,79,1,371.19,371.19
565,189,1,1,260.57,260.57
566,189,77,2,438.57,877.14
567,190,36,1,274.9,274.9
568,191,82,1,384.62,384.62
569,192,58,1,335.84,335.84
570,192,22,4,404.82,1619.28
571,193,100,5,445.88,2229.4
572,193,5,5,478.84,2394.2
573,194,22,5,404.82,2024.1
574,194,73,3,292.48,877.44
575,194,78,4,212.2,848.8
