order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20230131-00001,131,2023-01-31,enviado,2923.74,6,440,613.99,3802.31,paypal,same_day,,Nota del cliente: Envolver para regalo
2,ORD-20230315-00002,21,2023-03-15,procesando,1379.52,6,360,289.7,1946.45,paypal,same_day,10,
3,ORD-20250807-00003,313,2025-08-07,enviado,1652,16,30,346.92,1764.6,debit_card,express,,
4,ORD-20250811-00004,195,2025-08-11,procesando,1489.88,2,300,312.87,2072.95,paypal,pickup,7,
5,ORD-20251012-00005,257,2025-10-12,enviado,989.12,6,470,207.72,1607.49,bank_transfer,same_day,,
6,ORD-20230126-00006,127,2023-01-26,cancelado,4588.9,17,480,963.67,5252.46,paypal,pickup,,
7,ORD-20250716-00007,189,2025-07-16,cancelado,4813.66,13,470,1010.87,5668.75,credit_card,same_day,,
8,ORD-20240207-00008,298,2024-02-07,entregado,3465.63,3,480,727.78,4569.44,credit_card,express,9,Nota del cliente: Llamar antes
9,ORD-20230122-00009,255,2023-01-22,entregado,784.71,18,240,164.79,1048.25,debit_card,same_day,2,
10,ORD-20240116-00010,56,2024-01-16,pendiente,2307.27,4,230,484.53,2929.51,cash_on_delivery,express,,
11,ORD-20240818-00011,103,2024-08-18,enviado,3727.19,3,420,782.71,4818.08,credit_card,same_day,,
12,ORD-20231003-00012,268,2023-10-03,procesando,3450.88,2,10,724.68,4116.54,bank_transfer,standard,,
13,ORD-20230705-00013,180,2023-07-05,pendiente,3413.93,20,280,716.93,3728.07,credit_card,standard,,
14,ORD-20241222-00014,193,2024-12-22,pendiente,950.8,12,70,199.67,1106.37,debit_card,same_day,1,Nota del cliente: Entregar por la tarde
15,ORD-20250505-00015,301,2025-05-05,enviado,3595.73,18,220,755.1,3923.6,debit_card,pickup,,
16,ORD-20240705-00016,17,2024-07-05,cancelado,1678.75,4,390,352.54,2354.14,paypal,standard,,
17,ORD-20230409-00017,194,2023-04-09,procesando,325.82,14,290,68.42,638.63,cash_on_delivery,standard,,Nota del cliente: Llamar antes
18,ORD-20250928-00018,256,2025-09-28,cancelado,2398.72,1,280,503.73,3158.46,bank_transfer,express,,
19,ORD-20241208-00019,253,2024-12-08,entregado,3739.91,18,340,785.38,4192.11,paypal,express,,
20,ORD-20241228-00020,238,2024-12-28,cancelado,4667.18,10,120,980.11,5300.57,cash_on_delivery,same_day,,Nota del cliente: Envolver para regalo
21,ORD-20231106-00021,275,2023-11-06,entregado,3012.39,1,40,632.6,3654.87,bank_transfer,same_day,,
22,ORD-20250119-00022,15,2025-01-19,procesando,3476.43,13,240,730.05,3994.54,bank_transfer,same_day,,
23,ORD-20241031-00023,123,2024-10-31,entregado,3159.94,15,390,663.59,3739.54,debit_card,standard,9,Nota del cliente: Dejar en portería
24,ORD-20240604-00024,93,2024-06-04,pendiente,2706.58,18,0,568.38,2787.78,paypal,standard,,
25,ORD-20231012-00025,198,2023-10-12,entregado,667.95,8,40,140.27,794.78,paypal,standard,10,
26,ORD-20251028-00026,183,2025-10-28,procesando,1637.94,6,470,343.97,2353.63,debit_card,standard,,
27,ORD-20251008-00027,147,2025-10-08,enviado,1713.7,16,100,359.88,1899.39,debit_card,same_day,,
28,ORD-20241208-00028,220,2024-12-08,enviado,301.31,17,100,63.28,413.37,debit_card,same_day,,
29,ORD-20230204-00029,134,2023-02-04,entregado,112.79,0,280,23.69,416.48,credit_card,same_day,,
30,ORD-20230518-00030,70,2023-05-18,entregado,1065.84,0,140,223.83,1429.67,paypal,pickup,9,
31,ORD-20240412-00031,183,2024-04-12,entregado,4457.55,15,480,936.09,5205.01,bank_transfer,standard,,Nota del cliente: Dejar en portería
32,ORD-20250804-00032,124,2025-08-04,pendiente,1343.36,17,170,282.11,1567.1,debit_card,pickup,,
